"glytoucan_ac","glytoucan_type","glycan_mass","glycan_permass","base_composition","composition","topology","monosaccharides","is_motif"
"G00002CF","Topology","956.29687423","1236.60987563","G28882EF","G35219UR","G00002CF","4","False"
"G00009BX","Saccharide","894.33286578","1118.5832669","G93579XB","G40076YB","G97996TJ","5","False"
"G00012MO","Saccharide","707.248407805","903.467508785","G08590QR","G53509NM","G15216HY","4","False"
"G00012RZ","Saccharide","2734.99351197","3379.71341519","G28989NC","G74930DK","G01087FD","15","False"
"G00013MO","Saccharide","666.2218587","862.44095968","G90306QO","G65968NT","G24521PI","4","False"
"G00014MO","Saccharide","748.27495691","944.49405789","G65171UV","G46396AV","G12014ZL","4","False"
"G00015MO","Saccharide","707.248407805","903.467508785","G08590QR","G12630GO","G23069WI","4","False"
"G00016MO","Saccharide","342.1162117","454.24141226","G90627TW","G90960QG","G61666PA","2","False"
"G00017MO","Saccharide","776.23348603","972.45258701","G33623LN","G67281OF","G81929CN","4","False"
"G00018MO","Saccharide","936.14711521","1104.33491605","G79485UE","G27961HI","G43666WL","4","False"
"G00019MO","Saccharide","936.14711521","1104.33491605","G79485UE","G68637ZS","G98081AU","4","False"
"G00020MO","Saccharide","908.18858609","1076.37638693","G18981TN","G09016GK","G65701KB","4","False"
"G00021MO","Saccharide","1176.01755898","1302.15840961","G84862JD","G80905BE","G50697FX","4","False"
"G00022MO","Saccharide","1548.51833897","2025.05044135","G35871UN","G79456AK","G46912MY","8","False"
"G00023MO","Saccharide","974.37031392","","G04048TK","G55075ZO","G83969XC","4","False"
"G00024MO","Saccharide","504.1690352","658.34118597","G39365VM","G72116MB","G63977XF","3","False"
"G00025AJ","Saccharide","490.18977064","644.36192141","","G55291BP","G68137QB","3","False"
"G00025MO","Saccharide","666.2218587","862.44095968","G90306QO","G88288TV","G92495JT","4","False"
"G00025YC","Saccharide","1989.7294541","2466.26155647","G85740DB","G64730RH","G90713ZK","11","False"
"G00026MO","Saccharide","910.32778041","1148.5938316","G28681TP","G71678CK","G21458SP","5","False"
