"uniprotkb_canonical_ac","status","gene_name","reviewed_isoforms","unreviewed_isoforms"
"P59596-1","reviewed","M","P59596-1",""
"P0C6U8-1","reviewed","","P0C6U8-1",""
"P59594-1","reviewed","S","P59594-1",""
"P59595-1","reviewed","N","P59595-1",""
"Q7TLC7-1","reviewed","","Q7TLC7-1",""
"Q80H93-1","reviewed","","Q80H93-1",""
"P59635-1","reviewed","","P59635-1",""
"Q7TFA1-1","reviewed","","Q7TFA1-1",""
"Q7TFA0-1","reviewed","","Q7TFA0-1",""
"P59633-1","reviewed","","P59633-1",""
"P59632-1","reviewed","","P59632-1",""
"P59637-1","reviewed","E","P59637-1",""
"P59636-1","reviewed","","P59636-1",""
"P0C6X7-1","reviewed","rep","P0C6X7-1",""
"P59634-1","reviewed","","P59634-1",""
