"uniprotkb_canonical_ac","status","gene_name","reviewed_isoforms","unreviewed_isoforms"
"D3ZB44-1","unreviewed","Zfp324","","D3ZB44-1"
"Q64627-1","reviewed","Neu2","Q64627-1","Q5BK97-1"
"D3ZB48-1","unreviewed","Hook1","","D3ZB48-1"
"A0A0G2JVG5-1","unreviewed","LOC102552378","","A0A0G2JVG5-1"
"A0A0G2JVG6-1","unreviewed","","","A0A0G2JVG6-1"
"P30938-1","reviewed","Sstr5","P30938-1","A0A0G2K3H3-1"
"P30938-1","reviewed","Sstr5","","G3V8G3-1"
"A0A0G2JVG8-1","unreviewed","Olr410","","A0A0G2JVG8-1"
"Q07969-1","reviewed","Cd36","Q07969-1","A0A096MIY7-1"
"Q07969-1","reviewed","Cd36","","A0A096MJ39-1"
"Q07969-1","reviewed","Cd36","","A0A0G2JYC5-1"
"Q07969-1","reviewed","Cd36","","D4A8Z2-1"
"Q07969-1","reviewed","Cd36","","Q6IMX5-1"
"A0A096MJY8-1","unreviewed","Acat2l1","","A0A096MJY8-1"
"A0A096MJY8-1","unreviewed","Acat2l1","","D3ZKB6-1"
"A0A096MJY4-1","reviewed","Mef2c","A0A096MJY4-1","A0A096MJ09-1"
"A0A096MJY4-1","reviewed","Mef2c","","A0A096MJ23-1"
"A0A096MJY4-1","reviewed","Mef2c","","A0A096MJD9-1"
"A0A096MJY4-1","reviewed","Mef2c","","A0A096MJZ6-1"
"A0A096MJY4-1","reviewed","Mef2c","","A0A096MK01-1"
"A0A096MJY4-1","reviewed","Mef2c","","A0A096MK43-1"
"A0A096MJY4-1","reviewed","Mef2c","","A0A096MK88-1"
"A0A096MJY4-1","reviewed","Mef2c","","A0A096MKI4-1"
"A0A096MJY1-1","unreviewed","Gpc6","","A0A096MJY1-1"
"A0A096MJY2-1","unreviewed","Stoml3","","A0A096MJY2-1"
"A0A096MJY2-1","unreviewed","Stoml3","","D4A100-1"
"F7ES73-1","unreviewed","Nub1","","F7ES73-1"
"P01946-1","reviewed","Hba1","P01946-1",""
"P30937-1","reviewed","Sstr4","P30937-1",""
"O35152-1","reviewed","Bet1l","O35152-1","A0A0G2JSM4-1"
"P30936-1","reviewed","Sstr3","P30936-1",""
"O35158-1","reviewed","Cdon","O35158-1","G3V7K7-1"
"O35158-1","reviewed","Cdon","O35158-2",""
"P02761-1","reviewed","","P02761-1",""
"Q9QYH1-1","reviewed","Mpp4","Q9QYH1-1","D3ZUC7-1"
"Q9QYH1-1","reviewed","Mpp4","Q9QYH1-2","F1MA44-1"
"Q9QYH1-1","reviewed","Mpp4","Q9QYH1-3",""
"P02764-1","reviewed","Orm1","P02764-1","A0A0H2UHF8-1"
"P02767-1","reviewed","Ttr","P02767-1",""
"D4A4W8-1","unreviewed","Tbxt","","D4A4W8-1"
"D4A4W9-1","unreviewed","","","D4A4W9-1"
"D4A4W0-1","unreviewed","Olr338","","D4A4W0-1"
"D4A4W1-1","unreviewed","Fam174b","","A0A096MJT8-1"
"D4A4W1-1","unreviewed","Fam174b","","D4A4W1-1"
"D4A4W2-1","unreviewed","Slc47a2","","D4A4W2-1"
"F7EN52-1","unreviewed","Cyp46a1","","F7EN52-1"
