"uniprotkb_canonical_ac","status","gene_name","reviewed_isoforms","unreviewed_isoforms"
"P30619-1","reviewed","SEC1","P30619-1",""
"P39972-1","reviewed","","P39972-1",""
"P39970-1","reviewed","ACA1","P39970-1",""
"P39971-1","reviewed","","P39971-1",""
"P39976-1","reviewed","DLD3","P39976-1",""
"P39977-1","reviewed","","P39977-1",""
"P39974-1","reviewed","","P39974-1",""
"P39975-1","reviewed","RMD6","P39975-1",""
"P39978-1","reviewed","","P39978-1",""
"P39979-1","reviewed","HPA3","P39979-1",""
"P25379-1","reviewed","CHA1","P25379-1",""
"P25378-1","reviewed","RHB1","P25378-1",""
"P17121-1","reviewed","SAC7","P17121-1",""
"P25374-1","reviewed","NFS1","P25374-1",""
"P17123-1","reviewed","SPO12","P17123-1",""
"P17122-1","reviewed","SPO16","P17122-1",""
"P25371-1","reviewed","ADP1","P25371-1",""
"P25370-1","reviewed","GFD2","P25370-1",""
"P25373-1","reviewed","GRX1","P25373-1",""
"P25372-1","reviewed","TRX3","P25372-1",""
"Q03048-1","reviewed","COF1","Q03048-1",""
"Q03049-1","reviewed","","Q03049-1",""
"Q06567-1","reviewed","MCP2","Q06567-1",""
"Q06563-1","reviewed","SYM1","Q06563-1",""
"Q00539-1","reviewed","NAM8","Q00539-1",""
"Q07748-1","reviewed","THI13","Q07748-1",""
"Q07963-1","reviewed","UBR2","Q07963-1",""
"Q07746-1","reviewed","","Q07746-1",""
"Q07967-1","reviewed","","Q07967-1",""
"Q00246-1","reviewed","RHO4","Q00246-1",""
"Q00245-1","reviewed","RHO3","Q00245-1",""
"P40422-1","reviewed","RPC10","P40422-1",""
"P48566-1","reviewed","MSB3","P48566-1",""
"P18494-1","reviewed","GLN3","P18494-1",""
"P18496-1","reviewed","ATP10","P18496-1",""
"P48568-1","reviewed","","P48568-1",""
"Q08748-1","reviewed","","Q08748-1",""
"Q08749-1","reviewed","TIM18","Q08749-1",""
"Q08746-1","reviewed","RRS1","Q08746-1",""
"Q08747-1","reviewed","UAF30","Q08747-1",""
"Q08745-1","reviewed","RPS10A","Q08745-1",""
"Q08742-1","reviewed","RDL2","Q08742-1",""
"Q08743-1","reviewed","","Q08743-1",""
"P32915-1","reviewed","SEC61","P32915-1",""
"P32914-1","reviewed","SPT4","P32914-1",""
"P32917-1","reviewed","STE5","P32917-1",""
"P32916-1","reviewed","SRP101","P32916-1",""
"P32911-1","reviewed","SUI1","P32911-1",""
"P32910-1","reviewed","RPC34","P32910-1",""
"P32913-1","reviewed","VPS17","P32913-1",""
"P32912-1","reviewed","VAM7","P32912-1",""
"Q04438-1","reviewed","SPG4","Q04438-1",""
"Q04439-1","reviewed","MYO5","Q04439-1",""
"Q04430-1","reviewed","CAB1","Q04430-1",""
"Q04431-1","reviewed","KRE28","Q04431-1",""
"Q04432-1","reviewed","HSP31","Q04432-1",""
"Q04433-1","reviewed","FIT1","Q04433-1",""
"Q04436-1","reviewed","","Q04436-1",""
"Q04437-1","reviewed","YKU80","Q04437-1",""
"P00546-1","reviewed","CDC28","P00546-1",""
"P04385-1","reviewed","GAL1","P04385-1",""
