"uniprotkb_canonical_ac","status","gene_name","reviewed_isoforms","unreviewed_isoforms"
"M9PJ12-1","unreviewed","CG32778","","M9PGE8-1"
"M9PJ12-1","unreviewed","CG32778","","M9PGM4-1"
"M9PJ12-1","unreviewed","CG32778","","M9PH00-1"
"M9PJ12-1","unreviewed","CG32778","","M9PJ12-1"
"M9PJ12-1","unreviewed","CG32778","","Q9W4N4-1"
"M9PJ12-1","unreviewed","CG32778","","X2JCH4-1"
"P40796-1","reviewed","La","P40796-1",""
"P40797-1","reviewed","pnut","P40797-1",""
"P40794-1","reviewed","bnk","P40794-1",""
"P40795-1","reviewed","fog","P40795-1","A4V4V8-1"
"P40792-1","reviewed","Rac1","P40792-1","M9PBH7-1"
"P40793-1","reviewed","Cdc42","P40793-1","M9NFF8-1"
"P40791-1","reviewed","Mef2","P40791-1","A0A0B4KEP4-1"
"P40791-1","reviewed","Mef2","P40791-2","A0A0B4KFI1-1"
"P40791-1","reviewed","Mef2","P40791-3","A0A6M3Q705-1"
"P40791-1","reviewed","Mef2","P40791-4","A0A6M3Q797-1"
"P40791-1","reviewed","Mef2","P40791-6","A0A6M3Q823-1"
"P40791-1","reviewed","Mef2","","A0A6M3QA49-1"
"P40798-1","reviewed","stc","P40798-1","M9PD57-1"
"P40798-1","reviewed","stc","P40798-2","M9PDG3-1"
"P40421-1","reviewed","rdgC","P40421-1","A0A4D6K426-1"
"P40423-1","reviewed","sqh","P40423-1","F6J1D0-1"
"P40427-1","reviewed","exd","P40427-1","M9PHV1-1"
"A2VEV2-1","unreviewed","Dmel\CG34323","","A2VEV2-1"
"A2VEV0-1","unreviewed","Dmel\CG34302","","A2VEV0-1"
"P08841-1","reviewed","betaTub60D","P08841-1","A0A0B4LGH1-1"
"Q9VE87-1","reviewed","hmw","Q9VE87-1",""
"Q9VE86-1","reviewed","WRNexo","Q9VE86-1","E1JIP3-1"
"Q9VE86-1","reviewed","WRNexo","","E8NH59-1"
"Q9VE85-1","unreviewed","Nup43","","Q9VE85-1"
"P05389-1","reviewed","RpLP2","P05389-1",""
"A0A6H2EE55-1","unreviewed","Dmel\CG14431","","A0A6H2EE55-1"
"A0A6H2EE55-1","unreviewed","Dmel\CG14431","","Q9W3U2-1"
"A0A6F7UCJ3-1","unreviewed","GH14785","","A0A6F7UCJ3-1"
"Q9VRR2-1","unreviewed","Dmel\CG10483","","A0A4D6K4X7-1"
"Q9VRR2-1","unreviewed","Dmel\CG10483","","Q9VRR2-1"
"Q9VRR3-1","unreviewed","CG10727","","Q9VRR3-1"
"Q9VRR0-1","unreviewed","Dmel\CG10486","","M9ND52-1"
"Q9VRR0-1","unreviewed","Dmel\CG10486","","Q9VRR0-1"
"P04388-1","reviewed","Ras64B","P04388-1",""
"A1ZB47-1","unreviewed","CG5719","","A1ZB47-1"
"A1ZB42-1","reviewed","MED9","A1ZB42-1",""
"A1ZB48-1","unreviewed","Dmel\CG14500","","A1ZB48-1"
"A1ZB49-1","unreviewed","Dmel\CG30114","","A1ZB49-1"
"Q9VLI9-1","unreviewed","Trs23","","Q9VLI9-1"
"Q9VLI1-1","unreviewed","LManIV","","Q9VLI1-1"
"Q9VLI0-1","unreviewed","LManV","","Q9VLI0-1"
"Q9VLI3-1","unreviewed","Dmel\CG12438","","Q9VLI3-1"
"Q9VLI2-1","unreviewed","LManIII","","Q9VLI2-1"
"Q9VLI4-1","unreviewed","raw","","X2J5A2-1"
"Q9VLI4-1","unreviewed","raw","","Q9VLI4-1"
"Q9VLI4-1","unreviewed","raw","","Q9VLI5-1"
"Q9VLI6-1","unreviewed","CatB","","Q9VLI6-1"
"Q02870-1","reviewed","hay","Q02870-1","B7Z0G1-1"
"Q7JUM3-1","unreviewed","PIG-A","","Q7JUM3-1"
"Q8SXV2-1","unreviewed","Dmel\CG31675","","Q8SXV2-1"
"M9PB30-1","unreviewed","dpy","","M9NER8-1"
"M9PB30-1","unreviewed","dpy","","M9PB30-1"
"M9PB30-1","unreviewed","dpy","","M9PB31-1"
"M9PB30-1","unreviewed","dpy","","M9PBZ4-1"
"M9PB30-1","unreviewed","dpy","","M9PC45-1"
"M9PB30-1","unreviewed","dpy","","M9PC48-1"
"M9PB30-1","unreviewed","dpy","","M9PCJ6-1"
"M9PB30-1","unreviewed","dpy","","M9PCJ8-1"
"M9PB30-1","unreviewed","dpy","","M9PEI1-1"
"M9PB30-1","unreviewed","dpy","","M9PEI7-1"
"M9PB30-1","unreviewed","dpy","","M9NE82-1"
"M9PB30-1","unreviewed","dpy","","M9PBZ0-1"
"M9PB30-1","unreviewed","dpy","","M9PC41-1"
"M9PB30-1","unreviewed","dpy","","M9PEH5-1"
"M9PB30-1","unreviewed","dpy","","M9NCR4-1"
"M9PB30-1","unreviewed","dpy","","M9PB32-1"
"Q8SXV4-1","unreviewed","BcDNA:RH68528","","Q8SXV4-1"
"Q9VGW4-1","unreviewed","Dmel\CG14692","","Q9VGW4-1"
