"uniprotkb_canonical_ac","status","gene_name","reviewed_isoforms","unreviewed_isoforms"
"Q8BH24-1","reviewed","Tm9sf4","Q8BH24-1",""
"Q8BH27-1","reviewed","Megf9","Q8BH27-1","F8WHT8-1"
"Q8BH26-1","reviewed","Tmem251","Q8BH26-1",""
"Q8VF69-1","unreviewed","Olfr223","","Q8VF69-1"
"Q9JHR7-1","reviewed","Ide","Q9JHR7-1","Q8CGB9-1"
"Q8VF63-1","unreviewed","Olfr881","","Q7TRE2-1"
"Q8VF63-1","unreviewed","Olfr881","","Q8VF63-1"
"Q8VF60-1","unreviewed","Olfr291","","Q7TS12-1"
"Q8VF60-1","unreviewed","Olfr291","","Q8VF60-1"
"Q8VF66-1","reviewed","Olfr469","Q8VF66-1",""
"Q8VF65-1","reviewed","Olfr470","Q8VF65-1",""
"Q8VF64-1","unreviewed","Olfr883","","Q8VF64-1"
"B2RXV4-1","reviewed","Flvcr1","B2RXV4-1","A0A0A6YWJ7-1"
"B2RXV4-1","reviewed","Flvcr1","B2RXV4-2","A0A0A6YXG8-1"
"E9Q3P4-1","unreviewed","Cenpf","","E9Q3P4-1"
"E9Q3P4-1","unreviewed","Cenpf","","E9Q776-1"
"E9Q3P4-1","unreviewed","Cenpf","","F6V6F0-1"
"E9Q3P4-1","unreviewed","Cenpf","","E9PY14-1"
"A0A087WRQ3-1","unreviewed","Trav1","","A0A075B5Z4-1"
"A0A087WRQ3-1","unreviewed","Trav1","","A0A087WRQ3-1"
"Q9CXG9-1","reviewed","Phf19","Q9CXG9-1","A0A0J9YU15-1"
"Q07968-1","reviewed","F13b","Q07968-1",""
"A5H0M4-1","unreviewed","Poteg","","A5H0M4-1"
"Q9CXG3-1","reviewed","Ppil4","Q9CXG3-1","D6RJ77-1"
"B1AQ89-1","unreviewed","Gm11555","","B1AQ89-1"
"B1AQ89-1","unreviewed","Gm11555","","E9PUW3-1"
"A0A1B0GST8-1","unreviewed","","","A0A1B0GST8-1"
"B1AQ87-1","unreviewed","Gm14190","","B1AQ87-1"
"B1AQ85-1","unreviewed","Krtap4-2","","B1AQ85-1"
"A0A1B0GST0-1","unreviewed","Olfr566","","A0A1B0GST0-1"
"A0A1B0GST0-1","unreviewed","Olfr566","","Q7TRS5-1"
"Q3UU21-1","unreviewed","Zpld2","","Q3UU21-1"
"P01942-1","reviewed","Hba","P01942-1","Q91VB8-1"
"P03899-1","reviewed","Mtnd3","P03899-1",""
"O35153-1","reviewed","Bet1l","O35153-1","A0A1B0GSF3-1"
"O35153-1","reviewed","Bet1l","","A0A1B0GR52-1"
"O35153-1","reviewed","Bet1l","","A0A1B0GQV3-1"
"O35153-1","reviewed","Bet1l","","A0A1B0GR53-1"
"O35153-1","reviewed","Bet1l","","A0A1B0GS34-1"
"Q9QYH9-1","reviewed","Tnfsf14","Q9QYH9-1",""
"P52479-1","reviewed","Usp10","P52479-1","G3X9U6-1"
"P52479-1","reviewed","Usp10","P52479-2","G3UYQ8-1"
"B1AXU1-1","unreviewed","Gm6812","","B1AXU1-1"
